trial,complexity,interval_length,task_type,actual_count,user_answer,correct,,,===== SUMMARY =====,,,,,
1,2,30,1,1,1,1,,,Complexity,Task Type,Total Completed,Correctly Completed,Accuracy (%),
2,2,30,1,2,2,1,,,1,1,115,112,97.39,
3,2,30,1,1,1,1,,,1,2,108,89,82.41,
4,2,30,1,3,3,1,,,2,1,71,64,90.14,
5,2,30,1,1,1,1,,,2,2,62,54,87.1,
6,2,30,1,4,4,1,,,3,1,40,35,87.5,
7,2,30,1,1,1,1,,,3,2,38,29,76.32,
8,2,30,1,1,1,1,,,,,,,,
9,2,30,1,1,1,1,,,,,,,,
10,2,30,1,5,5,1,,,,,,,,
11,2,30,1,4,4,1,,,,,,,,
12,2,30,2,8,8,1,,,,,,,,
13,2,30,2,9,9,1,,,,,,,,
14,2,30,2,8,8,1,,,,,,,,
15,2,30,2,7,7,1,,,,,,,,
16,2,30,2,6,6,1,,,,,,,,
17,2,30,2,9,9,1,,,,,,,,
18,2,30,2,8,8,1,,,,,,,,
19,2,30,2,9,7,0,,,,,,,,
20,2,30,2,6,6,1,,,,,,,,
21,2,30,2,9,9,1,,,,,,,,
22,2,30,2,9,9,1,,,,,,,,
23,2,30,1,2,2,1,,,,,,,,
24,2,30,1,1,1,1,,,,,,,,
25,2,30,1,0,0,1,,,,,,,,
26,2,30,1,1,1,1,,,,,,,,
27,2,30,1,3,3,1,,,,,,,,
28,2,30,1,0,0,1,,,,,,,,
29,2,30,1,4,4,1,,,,,,,,
30,2,30,1,0,0,1,,,,,,,,
31,2,30,1,2,2,1,,,,,,,,
32,2,30,1,2,2,1,,,,,,,,
33,2,30,1,4,4,1,,,,,,,,
34,2,30,1,1,1,1,,,,,,,,
35,2,30,2,6,6,1,,,,,,,,
36,2,30,2,7,7,1,,,,,,,,
37,2,30,2,8,8,1,,,,,,,,
38,2,30,2,6,6,1,,,,,,,,
39,2,30,2,6,7,0,,,,,,,,
40,2,30,2,8,8,1,,,,,,,,
41,2,30,2,8,8,1,,,,,,,,
42,2,30,2,9,9,1,,,,,,,,
43,2,30,2,8,8,1,,,,,,,,
44,2,30,2,7,7,1,,,,,,,,
45,2,30,2,9,9,1,,,,,,,,
46,2,20,1,1,1,1,,,,,,,,
47,2,20,1,1,1,1,,,,,,,,
48,2,20,1,0,0,1,,,,,,,,
49,2,20,1,1,1,1,,,,,,,,
50,2,20,1,1,1,1,,,,,,,,
51,2,20,1,2,2,1,,,,,,,,
52,2,20,1,1,1,1,,,,,,,,
53,2,20,1,3,1,0,,,,,,,,
54,2,20,1,0,0,1,,,,,,,,
55,2,20,2,5,5,1,,,,,,,,
56,2,20,2,8,8,1,,,,,,,,
57,2,20,2,9,0,0,,,,,,,,
58,2,20,2,6,6,1,,,,,,,,
59,2,20,2,9,9,1,,,,,,,,
60,2,20,2,8,8,1,,,,,,,,
61,2,20,1,4,4,1,,,,,,,,
62,2,20,1,2,2,1,,,,,,,,
63,2,20,1,3,3,1,,,,,,,,
64,2,20,1,0,0,1,,,,,,,,
65,2,20,1,0,0,1,,,,,,,,
66,2,20,1,3,3,1,,,,,,,,
67,2,20,1,1,0,0,,,,,,,,
68,2,20,1,1,0,0,,,,,,,,
69,2,20,2,8,8,1,,,,,,,,
70,2,20,2,9,9,1,,,,,,,,
71,2,20,2,9,9,1,,,,,,,,
72,2,20,2,8,8,1,,,,,,,,
73,2,20,2,9,9,1,,,,,,,,
